Started Log File:     logs/MMTK 2021-06-01 14-01-44-COM5.txt
Data Source:     COM5

1BLBLBáNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	0.00	0.00	-10.64	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.64	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.64	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.64	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.64	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.64	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.60	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.60	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.61	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.61	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.64	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.64	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.61	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.60	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.60	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.60	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.64	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.64	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.61	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.60	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.61	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.61	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.64	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.61	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.61	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.64	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.61	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.61	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.61	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.61	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.61	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.62	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.61	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.61	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.61	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.61	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.64	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.63	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.62	0	2	1	0	0	12.32	1	1	1	1	2	
1	0.00	0.00	-10.63	0	2	0	0	0	12.27	1	1	1	1	0	
1	0.00	0.00	-10.62	0	2	0	0	0	12.27	1	1	1	1	1	
1	523.74	0.35	-10.62	6	0	0	0	0	12.25	1	1	1	0	1	
1	492.13	1.03	-10.63	20	0	0	0	0	12.27	1	1	1	1	1	
1	431.03	1.95	-10.62	38	0	0	0	0	12.25	1	1	1	1	1	
1	398.09	2.50	-10.61	50	0	0	0	0	12.25	1	1	1	1	1	
1	327.23	3.21	-10.61	64	0	0	0	0	12.27	1	1	1	1	1	
1	289.35	3.62	-10.61	72	0	0	0	0	12.27	1	1	1	1	1	
1	239.16	3.96	-10.62	80	0	0	0	0	12.25	1	1	1	1	1	
1	161.08	4.35	-10.63	86	0	0	0	0	12.27	1	1	1	1	1	
1	107.02	4.53	-10.62	90	0	0	0	0	12.27	1	1	1	1	1	
1	31.00	4.66	-10.63	93	0	0	0	0	12.27	1	1	1	1	1	
1	400.64	4.72	-10.64	94	0	0	0	0	12.25	1	1	1	1	1	
1	400.64	5.45	-10.64	110	0	0	0	0	12.27	1	1	1	1	1	
1	400.64	5.98	-10.63	120	0	0	0	0	12.25	1	1	1	1	1	
1	400.64	6.78	-10.65	136	0	0	0	0	12.27	1	1	1	1	1	
1	400.64	7.31	-10.65	148	0	0	0	0	12.25	1	1	1	1	1	
1	36.00	7.70	-10.63	156	0	0	0	0	12.27	1	1	1	1	1	
1	90.01	7.76	-10.62	156	0	0	0	0	12.27	1	1	1	1	1	
1	145.01	7.92	-10.62	160	0	0	0	0	12.27	1	1	1	1	1	
1	218.02	8.29	-10.63	166	0	0	0	0	12.27	1	1	1	1	1	
1	268.24	8.48	-10.62	170	0	0	0	0	12.27	1	1	1	1	1	
1	336.02	9.09	-10.64	182	0	0	0	0	12.29	1	1	1	1	1	
1	381.10	9.57	-10.65	192	0	0	0	0	12.27	1	1	1	1	1	
1	439.11	10.40	-10.63	210	0	0	0	0	12.27	1	1	1	1	1	
1	477.10	11.01	-10.62	222	0	0	0	0	12.25	1	1	1	1	1	
1	523.74	12.01	-10.63	242	0	0	0	0	12.27	1	1	1	1	1	
1	551.47	12.73	-10.63	256	0	0	0	0	12.27	1	1	1	1	1	
1	584.11	13.71	-10.63	276	0	0	0	0	12.27	1	1	1	1	1	
1	602.89	13.09	-10.62	262	0	0	0	1	12.25	1	1	1	1	1	
1	616.78	12.29	-10.62	246	0	0	0	1	12.27	1	1	1	1	1	
1	627.09	11.05	-10.62	222	0	0	0	1	12.25	1	1	1	1	1	
1	629.19	10.22	-10.61	206	0	0	0	1	12.27	1	1	1	1	1	
1	625.00	9.03	-10.61	182	0	0	0	1	12.25	1	1	1	1	1	
1	614.75	8.21	-10.62	166	0	0	0	1	12.27	1	1	1	1	1	
1	593.35	7.01	-10.62	142	0	0	0	1	12.27	1	1	1	1	1	
1	573.39	6.23	-10.62	126	0	0	0	1	12.27	1	1	1	1	1	
1	537.25	5.13	-10.63	104	0	0	0	1	12.27	1	1	1	1	1	
1	508.13	4.44	-10.64	90	0	0	0	1	12.27	1	1	1	1	1	
1	458.44	3.49	-10.63	70	0	0	0	1	12.27	1	1	1	1	1	
1	418.53	2.92	-10.63	60	0	0	0	1	12.29	1	1	1	1	1	
1	376.51	2.39	-10.62	48	0	0	0	1	12.27	1	1	1	1	1	
1	305.37	1.70	-10.62	36	0	0	0	1	12.29	1	1	1	1	1	
1	266.34	1.33	-10.60	28	0	0	0	1	12.27	1	1	1	1	1	
1	185.09	0.88	-10.62	18	0	0	0	1	12.29	1	1	1	1	1	
1	141.08	0.68	-10.62	14	0	0	0	1	12.27	1	1	1	1	1	
1	56.00	0.49	-10.60	10	0	0	0	1	12.27	1	1	1	1	1	
1	9.00	0.45	-10.62	10	0	0	0	1	12.27	1	1	1	1	1	
1	400.64	0.00	-10.62	0	0	0	0	1	12.23	1	1	1	1	1	
1	400.64	0.00	-10.63	0	0	0	0	1	12.25	1	1	1	1	1	
1	400.64	0.00	-10.63	0	0	0	0	1	12.27	1	1	1	1	1	
1	400.64	0.00	-10.63	0	0	0	0	1	12.27	1	1	1	1	1	
1	400.64	0.00	-10.62	0	0	0	0	1	12.25	1	1	1	1	1	
1	60.00	0.00	-10.61	0	0	0	0	0	12.27	1	1	1	1	1	
1	113.02	0.08	-10.60	2	0	0	0	0	12.29	1	1	1	1	1	
1	188.06	0.39	-10.60	8	0	0	0	0	12.27	1	1	1	1	1	
1	240.08	0.69	-10.61	14	0	0	0	0	12.25	1	1	1	1	1	
1	318.34	1.21	-10.62	24	0	0	0	0	12.25	1	1	1	1	1	
1	355.11	1.48	-10.62	30	0	0	0	0	12.27	1	1	1	1	1	
1	424.21	2.25	-10.62	46	0	0	0	0	12.27	1	1	1	1	1	
1	456.20	2.84	-10.62	58	0	0	0	0	12.29	1	1	1	1	1	
1	512.30	3.80	-10.62	76	0	0	0	0	12.27	1	1	1	1	1	
1	537.25	4.51	-10.62	90	0	0	0	0	12.25	1	1	1	1	1	
1	563.06	5.25	-10.62	106	0	0	0	0	12.27	1	1	1	1	1	
1	593.35	6.40	-10.62	128	0	0	0	0	12.25	1	1	1	1	1	
1	610.75	7.20	-10.62	144	0	0	0	0	12.27	1	1	1	1	1	
1	625.00	8.43	-10.60	170	0	0	0	0	12.25	1	1	1	1	1	
1	629.19	9.26	-10.60	186	0	0	0	0	12.27	1	1	1	1	1	
1	627.09	10.52	-10.61	212	0	0	0	0	12.25	1	1	1	1	1	
1	620.86	11.34	-10.61	228	0	0	0	0	12.27	1	1	1	1	1	
