Started Log File:     logs/MMTK 2021-06-01 11-04-39-COM5.txt
Data Source:     COM5

NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
null1	0.00	0.00	-10.49	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.46	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.47	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.48	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.11	1	1	1	1	0	
1	0.00	0.00	-10.47	0	2	0	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	11.99	1	1	1	1	1	
1	0.00	0.00	-10.49	0	2	0	0	0	11.99	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.09	1	1	1	1	1	
1	0.00	0.00	-10.46	0	2	0	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	-10.49	0	2	0	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	-10.49	0	2	0	0	0	12.01	1	1	1	1	1	
1	0.00	0.00	-10.49	0	2	0	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	-10.49	0	2	0	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	-10.50	0	2	0	0	0	12.09	1	1	1	1	1	
1	0.00	0.00	-10.50	0	2	0	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	-10.50	0	2	0	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	-10.49	0	2	0	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	-10.49	0	2	0	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.01	1	1	1	1	1	
1	0.00	0.00	-10.49	0	2	0	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	-10.50	0	2	0	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.01	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	-10.46	0	2	0	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	-10.47	0	2	0	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	-10.49	0	2	0	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	-10.47	0	2	0	0	0	12.15	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	-10.49	0	2	0	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	-10.49	0	2	0	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	-10.47	0	2	0	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	-10.47	0	2	0	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	-10.49	0	2	0	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	-10.47	0	2	0	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	-10.48	0	2	0	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	-10.47	0	2	0	0	0	12.03	1	1	1	1	1	
1	376.51	0.11	-10.47	2	0	0	0	0	12.29	1	1	1	0	1	
1	284.52	0.69	-10.47	14	0	0	0	0	12.21	1	1	1	1	1	
1	296.68	1.07	-10.48	22	0	0	0	0	12.23	1	1	1	1	1	
1	308.39	1.47	-10.48	30	0	0	0	0	12.25	1	1	1	1	1	
1	322.16	2.10	-10.47	42	0	0	0	0	12.25	1	1	1	1	1	
1	333.63	2.53	-10.46	50	0	0	0	0	12.29	1	1	1	1	1	
1	345.30	3.21	-10.46	64	0	0	0	0	12.29	1	1	1	1	1	
1	353.11	3.67	-10.47	74	0	0	0	0	12.25	1	1	1	1	1	
1	361.97	4.39	-10.47	88	0	0	0	0	12.30	1	1	1	1	1	
1	366.21	4.87	-10.46	98	0	0	0	0	12.27	1	1	1	1	1	
1	372.02	5.61	-10.48	112	0	0	0	0	12.27	1	1	1	1	1	
1	374.25	6.10	-10.47	122	0	0	0	0	12.25	1	1	1	1	1	
1	377.26	6.85	-10.46	136	0	0	0	0	12.25	1	1	1	1	1	
1	377.26	7.35	-10.45	146	0	0	0	0	12.25	1	1	1	1	1	
1	377.26	7.85	-10.46	156	0	0	0	0	12.27	1	1	1	1	1	
1	374.25	8.61	-10.48	172	0	0	0	0	12.27	1	1	1	1	1	
1	371.29	9.10	-10.46	182	0	0	0	0	12.23	1	1	1	1	1	
1	365.50	9.84	-10.46	196	0	0	0	0	12.29	1	1	1	1	1	
1	360.58	10.32	-10.47	206	0	0	0	0	12.29	1	1	1	1	1	
1	347.87	11.02	-10.45	220	0	0	0	0	12.25	1	1	1	1	1	
1	343.41	11.48	-10.47	230	0	0	0	0	12.27	1	1	1	1	1	
1	327.80	12.15	-10.46	242	0	0	0	0	12.27	1	1	1	1	1	
1	321.06	12.58	-10.46	252	0	0	0	0	12.27	1	1	1	1	1	
1	300.48	13.20	-10.45	264	0	0	0	0	12.25	1	1	1	1	1	
1	288.46	13.60	-10.44	272	0	0	0	0	12.25	1	1	1	1	1	
1	280.27	13.97	-10.45	280	0	0	0	0	12.25	1	1	1	1	1	
1	255.45	14.51	-10.47	290	0	0	0	0	12.21	1	1	1	1	1	
1	246.39	14.84	-10.46	296	0	0	0	0	12.21	1	1	1	1	1	
