Started Log File:     logs/MMTK 2021-06-03 10-58-27-COM4.txt
Data Source:     COM4

NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
null1	0.00	0.00	-10.41	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.39	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.40	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.42	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.41	0	2	0	0	0	12.25	1	1	1	1	0	
1	0.00	0.00	-10.40	0	2	0	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.41	0	2	0	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.40	0	2	0	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.42	0	2	0	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.41	0	2	0	0	0	12.34	1	1	1	1	1	
1	250.00	-0.15	-10.39	-4	3	0	0	1	12.34	0	1	1	1	1	
1	250.00	-0.65	-10.41	-14	3	0	0	1	12.34	0	1	1	1	1	
1	250.00	-0.99	-10.39	-20	3	0	0	1	12.34	0	1	1	1	1	
1	0.00	-1.14	-10.40	-24	2	0	0	1	12.32	1	1	1	1	1	
1	0.00	-1.14	-10.40	-24	2	0	0	1	12.32	1	1	1	1	1	
1	0.00	-1.14	-10.40	-24	2	0	0	1	12.32	1	1	1	1	1	
1	0.00	-1.14	-10.40	-24	2	0	0	1	12.32	1	1	1	1	1	
1	0.00	-1.14	-10.39	-24	2	0	0	1	12.30	1	1	1	1	1	
 ========= TARE ==========
nullNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
0	0.00	0.00	-10.39	0	2	0	0	1	12.32	1	1	2	1	1	
1	0.00	0.00	0.01	0	2	0	0	1	12.30	1	1	1	1	1	
1	0.00	0.00	-0.01	0	2	0	0	1	12.36	1	1	1	1	1	
1	25.00	0.00	-0.01	0	0	0	0	0	12.25	1	1	1	0	1	
1	25.00	0.00	-0.01	0	0	0	0	0	12.25	1	1	1	1	1	
1	25.00	0.00	-0.01	0	0	0	0	0	12.36	1	1	1	1	1	
1	25.00	0.00	-0.02	0	0	0	0	0	12.36	1	1	1	1	1	
1	25.00	0.00	-0.02	0	0	0	0	0	12.36	1	1	1	1	1	
1	25.00	0.00	-0.01	0	0	0	0	0	12.29	1	1	1	1	1	
1	25.00	0.00	0.01	0	0	0	0	0	12.30	1	1	1	1	1	
1	25.00	0.00	0.02	0	0	0	0	0	12.32	1	1	1	1	1	
1	25.00	0.00	0.01	0	0	0	0	0	12.32	1	1	1	1	1	
1	25.00	0.00	-0.01	0	0	0	0	0	12.27	1	1	1	1	1	
1	25.00	0.00	-0.01	0	0	0	0	0	12.25	1	1	1	1	1	
1	25.00	0.00	0.00	0	0	0	0	0	12.29	1	1	1	1	1	
1	25.00	0.00	0.01	0	0	0	0	0	12.29	1	1	1	1	1	
1	25.00	0.00	-0.00	0	0	0	0	0	12.36	1	1	1	1	1	
1	25.00	0.00	-0.01	0	0	0	0	0	12.36	1	1	1	1	1	
1	25.00	0.00	-0.00	0	0	0	0	0	12.30	1	1	1	1	1	
1	25.00	0.00	-0.01	0	0	0	0	0	12.30	1	1	1	1	1	
1	25.00	0.00	-0.01	0	0	0	0	0	12.32	1	1	1	1	1	
1	25.00	0.00	0.02	0	0	0	0	0	12.34	1	1	1	1	1	
1	25.00	0.00	0.01	0	0	0	0	0	12.36	1	1	1	1	1	
1	25.00	0.00	0.01	0	0	0	0	0	12.29	1	1	1	1	1	
