Started Log File:     logs/MMTK 2021-06-04 10-46-36-COM4.txt
Data Source:     COM4

1BáNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	0.00	0.00	-9.92	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-9.90	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.94	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.90	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.90	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.90	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.95	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.94	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.90	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.94	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.94	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.90	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.90	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.90	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.90	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.90	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.90	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.90	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.93	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.94	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.95	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.95	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.94	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.95	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.95	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.94	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.92	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.91	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.93	0	2	0	0	0	12.29	1	1	1	1	0	
1	0.00	0.00	-9.93	0	2	0	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.92	0	2	0	0	0	12.30	1	1	1	1	1	
1	250.00	-0.07	-9.91	-2	3	0	1	1	12.27	0	1	1	1	1	
1	250.00	-0.37	-9.91	-8	3	0	0	1	12.30	0	1	1	1	1	
1	250.00	-0.88	-9.91	-18	3	0	0	1	12.30	0	1	1	1	1	
1	0.00	-1.05	-9.92	-22	2	0	0	1	12.29	1	1	1	1	1	
1	0.00	-1.05	-9.91	-22	2	0	0	1	12.29	1	1	1	1	1	
1	0.00	-1.05	-9.90	-22	2	0	0	1	12.29	1	1	1	1	1	
1	0.00	-1.05	-9.91	-22	2	0	0	1	12.29	1	1	1	1	1	
1	0.00	-1.05	-9.90	-22	2	0	0	1	12.29	1	1	1	1	1	
1	0.00	-1.05	-9.91	-22	2	0	0	1	12.29	1	1	1	1	1	
1	0.00	-1.05	-9.93	-22	2	0	0	1	12.30	1	1	1	1	1	
 ========= TARE ==========
nullNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
0	0.00	0.00	-9.93	0	2	0	0	1	12.30	1	1	2	1	1	
1	25.00	0.00	-0.00	0	0	0	0	0	12.30	1	1	1	1	1	
1	25.00	0.00	0.00	0	0	0	0	0	12.30	1	1	1	1	1	
1	25.00	0.00	-0.01	0	0	0	0	0	12.30	1	1	1	1	1	
1	25.00	0.00	-0.01	0	0	0	0	0	12.29	1	1	1	1	1	
1	25.00	0.00	-0.01	0	0	0	0	0	12.29	1	1	1	1	1	
1	25.00	0.00	-0.00	0	0	0	0	0	12.29	1	1	1	1	1	
1	25.00	0.00	-0.00	0	0	0	0	0	12.30	1	1	1	1	1	
1	25.00	0.00	0.01	0	0	0	0	0	12.29	1	1	1	1	1	
1	25.00	0.00	0.01	0	0	0	0	0	12.29	1	1	1	1	1	
1	25.00	0.00	0.00	0	0	0	0	0	12.30	1	1	1	1	1	
1	25.00	0.00	-0.00	0	0	0	0	0	12.30	1	1	1	1	1	
1	25.00	0.00	-0.01	0	0	0	0	0	12.30	1	1	1	1	1	
1	25.00	0.00	-0.01	0	0	0	0	0	12.29	1	1	1	1	1	
1	25.00	0.00	0.02	0	0	0	0	0	12.29	1	1	1	1	1	
1	25.00	0.00	0.03	0	0	0	0	0	12.29	1	1	1	1	1	
1	25.00	0.00	0.00	0	0	0	0	0	12.30	1	1	1	1	1	
1	25.00	0.00	0.00	0	0	0	0	0	12.30	1	1	1	1	1	
1	676.90	0.01	0.01	2	0	0	0	0	12.29	1	1	1	1	1	
1	599.04	1.04	0.02	24	0	0	0	0	12.27	1	1	1	1	1	
1	653.31	1.87	-0.01	40	0	0	0	0	12.30	1	1	1	1	1	
1	738.19	3.30	-0.02	68	0	0	0	0	12.29	1	1	1	1	1	
1	738.19	4.29	0.00	88	0	0	0	0	12.27	1	1	1	1	1	
1	738.19	5.76	0.01	118	0	0	0	0	12.29	1	1	1	1	1	
1	738.19	6.73	0.02	138	0	0	0	0	12.27	1	1	1	1	1	
1	738.19	8.20	0.00	166	0	0	0	0	12.27	1	1	1	1	1	
1	738.19	9.17	-0.01	186	0	0	0	0	12.29	1	1	1	1	1	
1	738.19	10.64	-0.01	216	0	0	0	0	12.25	1	1	1	1	1	
1	738.19	11.63	0.00	236	0	0	0	0	12.27	1	1	1	1	1	
1	738.19	12.60	0.01	254	0	0	0	0	12.29	1	1	1	1	1	
1	732.42	14.06	-0.00	284	0	0	0	0	12.29	1	1	1	1	1	
1	660.21	14.97	0.01	302	0	0	0	0	12.29	1	1	1	1	1	
1	526.69	16.14	0.01	326	0	0	0	0	12.30	1	1	1	1	1	
1	420.40	16.75	-0.01	338	0	0	0	0	12.29	1	1	1	1	1	
1	257.55	17.42	0.00	350	0	0	0	0	12.29	1	1	1	1	1	
1	137.26	17.67	0.02	356	0	0	0	0	12.29	1	1	1	1	1	
1	184.00	17.80	0.01	358	0	0	0	0	12.29	1	1	1	1	1	
1	300.00	18.07	0.01	364	0	0	0	0	12.29	1	1	1	1	1	
1	370.55	18.52	0.01	372	0	0	0	0	12.29	1	1	1	1	1	
1	559.70	18.67	0.01	376	0	0	0	1	12.30	1	1	1	1	1	
1	620.86	18.22	0.01	366	0	0	0	1	12.27	1	1	1	1	1	
1	710.23	17.29	0.01	346	0	0	0	1	12.29	1	1	1	1	1	
1	710.23	16.35	0.02	328	0	0	0	1	12.27	1	1	1	1	1	
1	710.23	14.94	-0.01	300	0	0	0	1	12.29	1	1	1	1	1	
1	710.23	14.00	-0.03	280	0	0	0	1	12.27	1	1	1	1	1	
