Started Log File:     logs/MMTK 2021-06-04 10-56-22-COM4.txt
Data Source:     COM4

NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
null1	0.00	0.00	-9.99	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.98	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.98	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.01	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.01	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.98	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.98	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.97	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.01	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.98	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.96	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.98	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.98	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-10.01	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.03	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.02	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-9.98	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.01	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.01	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.01	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.01	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.01	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.03	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.01	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.01	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.01	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-9.98	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-9.99	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.01	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.01	0	1	1	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.01	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.01	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.00	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.01	0	2	0	0	0	12.30	1	1	1	1	0	
1	0.00	0.00	-10.00	0	2	0	0	0	12.30	1	1	1	1	0	
