Started Log File:     logs/MMTK 2021-06-01 11-03-12-COM5.txt
Data Source:     COM5

NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
null1	0.00	0.00	-10.40	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.42	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.43	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.42	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.42	0	2	0	0	0	12.07	1	1	1	1	0	
1	0.00	0.00	-10.42	0	2	0	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	-10.43	0	2	0	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	-10.42	0	2	0	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	-10.42	0	2	0	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	-10.42	0	2	0	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	-10.42	0	2	0	0	0	12.01	1	1	1	1	1	
1	25.00	0.00	-10.41	0	0	0	0	1	12.13	1	1	1	0	1	
1	25.00	0.00	-10.41	0	0	0	0	1	12.01	1	1	1	0	1	
1	25.00	0.00	-10.43	0	0	0	0	1	12.07	1	1	1	1	1	
1	25.00	0.00	-10.42	0	0	0	0	1	12.09	1	1	1	1	1	
1	25.00	0.00	-10.41	0	0	0	0	1	12.09	1	1	1	1	1	
1	25.00	0.00	-10.42	0	0	0	0	1	12.13	1	1	1	1	1	
1	25.00	0.00	-10.42	0	0	0	0	1	12.01	1	1	1	1	1	
1	25.00	0.00	-10.41	0	0	0	0	1	12.03	1	1	1	1	1	
1	25.00	0.00	-10.43	0	0	0	0	1	12.15	1	1	1	1	1	
1	25.00	0.00	-10.43	0	0	0	0	1	12.01	1	1	1	1	1	
1	25.00	0.00	-10.42	0	0	0	0	1	12.01	1	1	1	1	1	
1	25.00	0.00	-10.40	0	0	0	0	1	12.15	1	1	1	1	1	
1	25.00	0.00	-10.42	0	0	0	0	1	12.05	1	1	1	1	1	
1	25.00	0.00	-10.43	0	0	0	0	1	12.13	1	1	1	1	1	
1	25.00	0.00	-10.43	0	0	0	0	1	12.07	1	1	1	1	1	
1	25.00	0.00	-10.43	0	0	0	0	1	12.09	1	1	1	1	1	
1	25.00	0.00	-10.44	0	0	0	0	1	12.15	1	1	1	1	1	
1	25.00	0.00	-10.42	0	0	0	0	1	12.03	1	1	1	1	1	
1	25.00	0.00	-10.41	0	0	0	0	1	12.05	1	1	1	1	1	
1	240.08	0.16	-10.42	4	0	0	0	0	12.23	1	1	1	1	1	
1	240.08	0.48	-10.42	10	0	0	0	0	12.23	1	1	1	1	1	
1	240.08	0.80	-10.41	16	0	0	0	0	12.23	1	1	1	1	1	
1	240.08	1.28	-10.41	26	0	0	0	0	12.21	1	1	1	1	1	
1	240.08	1.60	-10.40	32	0	0	0	0	12.17	1	1	1	1	1	
1	240.08	2.08	-10.40	42	0	0	0	0	12.19	1	1	1	1	1	
1	240.08	2.40	-10.42	48	0	0	0	0	12.17	1	1	1	1	1	
1	240.08	2.88	-10.41	58	0	0	0	0	12.19	1	1	1	1	1	
1	240.08	3.20	-10.40	64	0	0	0	0	12.23	1	1	1	1	1	
1	240.08	3.68	-10.40	74	0	0	0	0	12.23	1	1	1	1	1	
1	240.08	4.00	-10.40	80	0	0	0	0	12.19	1	1	1	1	1	
1	240.08	4.48	-10.41	90	0	0	0	0	12.21	1	1	1	1	1	
1	240.08	4.80	-10.41	96	0	0	0	0	12.19	1	1	1	1	1	
1	240.08	5.12	-10.42	102	0	0	0	0	12.21	1	1	1	1	1	
1	240.08	5.60	-10.43	112	0	0	0	0	12.19	1	1	1	1	1	
1	240.08	5.92	-10.43	118	0	0	0	0	12.21	1	1	1	1	1	
1	240.08	6.40	-10.41	128	0	0	0	0	12.19	1	1	1	1	1	
1	240.08	6.72	-10.41	134	0	0	0	0	12.17	1	1	1	1	1	
1	240.08	7.20	-10.43	144	0	0	0	0	12.23	1	1	1	1	1	
1	240.08	7.52	-10.43	150	0	0	0	0	12.17	1	1	1	1	1	
1	240.08	8.00	-10.42	160	0	0	0	0	12.21	1	1	1	1	1	
1	240.08	8.32	-10.41	166	0	0	0	0	12.23	1	1	1	1	1	
1	240.08	8.79	-10.41	176	0	0	0	0	12.19	1	1	1	1	1	
1	240.08	9.11	-10.42	182	0	0	0	0	12.21	1	1	1	1	1	
1	240.08	9.43	-10.41	188	0	0	0	0	12.23	1	1	1	1	1	
1	240.08	9.92	-10.41	198	0	0	0	0	12.21	1	1	1	1	1	
1	240.08	10.24	-10.41	204	0	0	0	0	12.21	1	1	1	1	1	
1	240.08	10.71	-10.43	214	0	0	0	0	12.21	1	1	1	1	1	
1	240.08	11.03	-10.44	220	0	0	0	0	12.23	1	1	1	1	1	
1	240.08	11.51	-10.44	230	0	0	0	0	12.17	1	1	1	1	1	
1	240.08	11.83	-10.43	236	0	0	0	0	12.17	1	1	1	1	1	
1	240.08	12.31	-10.43	246	0	0	0	0	12.15	1	1	1	1	1	
1	240.08	12.63	-10.44	252	0	0	0	0	12.19	1	1	1	1	1	
1	240.08	13.11	-10.40	262	0	0	0	0	12.21	1	1	1	1	1	
1	240.08	13.43	-10.40	268	0	0	0	0	12.23	1	1	1	1	1	
1	240.08	13.75	-10.41	274	0	0	0	0	12.21	1	1	1	1	1	
1	240.08	14.23	-10.39	284	0	0	0	0	12.17	1	1	1	1	1	
1	240.08	14.55	-10.41	290	0	0	0	0	12.21	1	1	1	1	1	
1	240.08	15.03	-10.42	300	0	0	0	0	12.21	1	1	1	1	1	
1	240.08	15.35	-10.41	306	0	0	0	0	12.21	1	1	1	1	1	
1	240.08	15.83	-10.41	316	0	0	0	0	12.21	1	1	1	1	1	
1	240.08	16.15	-10.44	322	0	0	0	0	12.21	1	1	1	1	1	
1	240.08	16.63	-10.44	332	0	0	0	0	12.17	1	1	1	1	1	
1	240.08	16.95	-10.43	338	0	0	0	0	12.19	1	1	1	1	1	
1	240.08	17.43	-10.42	348	0	0	0	0	12.21	1	1	1	1	1	
1	240.08	17.75	-10.43	354	0	0	0	0	12.21	1	1	1	1	1	
