Started Log File:     logs/MMTK 2021-06-01 12-31-06-COM5.txt
Data Source:     COM5

‰LBLBLBáNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	100.00	5.40	0.00	110	0	0	0	0	12.29	1	1	1	1	1	
1	100.00	5.53	-0.02	112	0	0	0	0	12.29	1	1	1	1	1	
1	100.00	5.73	-0.01	116	0	0	0	0	12.29	1	1	1	1	1	
1	116.32	5.88	-0.01	118	0	0	0	0	12.29	1	1	1	1	1	
1	143.68	6.14	-0.00	124	0	0	0	0	12.29	1	1	1	1	1	
1	161.22	6.35	-0.01	128	0	0	0	0	12.27	1	1	1	1	1	
1	186.20	6.70	-0.02	136	0	0	0	0	12.27	1	1	1	1	1	
1	203.14	6.96	-0.00	140	0	0	0	0	12.27	1	1	1	1	1	
1	226.18	7.27	-0.00	146	0	0	0	0	12.27	1	1	1	1	1	
1	241.31	7.58	-0.01	154	0	0	0	0	12.27	1	1	1	1	1	
1	262.24	8.09	0.00	164	0	0	0	0	12.27	1	1	1	1	1	
1	276.14	8.45	0.00	170	0	0	0	0	12.27	1	1	1	1	1	
1	288.91	8.83	0.00	178	0	0	0	0	12.27	1	1	1	1	1	
1	305.87	9.43	0.00	190	0	0	0	0	12.27	1	1	1	1	1	
1	317.26	9.84	-0.01	198	0	0	0	0	12.27	1	1	1	1	1	
1	331.27	10.49	-0.00	212	0	0	0	0	12.27	1	1	1	1	1	
1	340.29	10.94	0.01	220	0	0	0	0	12.27	1	1	1	1	1	
1	351.12	11.63	0.02	234	0	0	0	0	12.29	1	1	1	1	1	
1	357.82	12.11	0.01	244	0	0	0	0	12.29	1	1	1	1	1	
1	365.50	12.45	0.01	250	0	0	0	1	12.29	1	1	1	1	1	
1	369.82	12.07	0.00	242	0	0	0	1	12.27	1	1	1	1	1	
1	374.25	11.33	0.01	228	0	0	0	1	12.29	1	1	1	1	1	
1	376.51	10.83	0.02	218	0	0	0	1	12.29	1	1	1	1	1	
1	377.26	10.33	-0.00	208	0	0	0	1	12.27	1	1	1	1	1	
1	376.51	9.57	-0.01	192	0	0	0	1	12.27	1	1	1	1	1	
1	375.00	9.08	-0.01	182	0	0	0	1	12.29	1	1	1	1	1	
1	371.29	8.33	0.02	168	0	0	0	1	12.29	1	1	1	1	1	
1	366.93	7.84	0.03	158	0	0	0	1	12.27	1	1	1	1	1	
1	359.88	7.14	0.01	144	0	0	0	1	12.27	1	1	1	1	1	
1	353.11	6.67	-0.00	134	0	0	0	1	12.27	1	1	1	1	1	
1	342.78	5.97	-0.01	120	0	0	0	1	12.27	1	1	1	1	1	
1	333.63	5.52	0.01	112	0	0	0	1	12.27	1	1	1	1	1	
1	317.80	4.87	0.03	98	0	0	0	1	12.27	1	1	1	1	1	
1	308.90	4.46	0.01	90	0	0	0	1	12.27	1	1	1	1	1	
1	297.15	4.06	0.00	82	0	0	0	1	12.27	1	1	1	1	1	
1	279.43	3.49	0.00	70	0	0	0	1	12.27	1	1	1	1	1	
1	265.58	3.13	0.01	64	0	0	0	1	12.27	1	1	1	1	1	
1	242.56	2.62	0.01	54	0	0	0	1	12.27	1	1	1	1	1	
1	230.06	2.30	0.00	48	0	0	0	1	12.27	1	1	1	1	1	
1	204.25	1.87	0.01	38	0	0	0	1	12.27	1	1	1	1	1	
1	190.74	1.61	0.00	34	0	0	0	1	12.27	1	1	1	1	1	
1	162.76	1.26	0.00	26	0	0	0	1	12.27	1	1	1	1	1	
1	148.46	1.05	-0.01	22	0	0	0	1	12.29	1	1	1	1	1	
1	118.97	0.79	-0.03	18	0	0	0	1	12.29	1	1	1	1	1	
1	100.00	0.64	-0.02	14	0	0	0	1	12.29	1	1	1	1	1	
1	100.00	0.51	-0.01	12	0	0	0	1	12.29	1	1	1	1	1	
1	100.00	0.31	-0.01	8	0	0	0	1	12.29	1	1	1	1	1	
1	100.00	0.17	-0.00	4	0	0	0	1	12.29	1	1	1	1	1	
1	100.00	0.00	0.00	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-0.01	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	0.02	2	0	0	0	1	12.27	1	1	1	1	1	
1	240.08	0.00	0.02	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	0.00	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	0.00	2	0	0	0	1	12.27	1	1	1	1	1	
1	240.08	0.00	0.00	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	0.01	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-0.00	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	0.00	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-0.01	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	0.01	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	0.02	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-0.00	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-0.01	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-0.01	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-0.02	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-0.02	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-0.01	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	-0.00	2	0	0	0	1	12.29	1	1	1	1	1	
1	240.08	0.00	0.01	2	0	0	0	1	12.29	1	1	1	1	1	
1	100.00	0.00	0.01	2	0	0	0	1	12.29	1	1	1	1	1	
1	100.00	0.04	0.00	2	0	0	0	0	12.27	1	1	1	1	1	
1	100.00	0.09	-0.01	4	0	0	0	0	12.27	1	1	1	1	1	
1	100.00	0.22	0.00	6	0	0	0	0	12.27	1	1	1	1	1	
1	103.82	0.33	0.01	8	0	0	0	0	12.25	1	1	1	1	1	
1	128.42	0.46	0.01	10	0	0	0	0	12.27	1	1	1	1	1	
1	149.16	0.66	0.01	14	0	0	0	0	12.29	1	1	1	1	1	
1	180.81	0.99	-0.00	22	0	0	0	0	12.29	1	1	1	1	1	
1	191.52	1.14	-0.01	24	0	0	0	0	12.29	1	1	1	1	1	
1	208.57	1.41	-0.01	30	0	0	0	0	12.27	1	1	1	1	1	
1	230.34	1.85	-0.00	38	0	0	0	0	12.29	1	1	1	1	1	
1	245.74	2.17	0.01	44	0	0	0	0	12.27	1	1	1	1	1	
1	266.34	2.54	0.02	52	0	0	0	0	12.29	1	1	1	1	1	
1	280.27	2.91	0.01	60	0	0	0	0	12.27	1	1	1	1	1	
1	298.09	3.50	0.00	72	0	0	0	0	12.29	1	1	1	1	1	
1	308.90	3.90	-0.00	80	0	0	0	0	12.29	1	1	1	1	1	
1	328.37	4.54	0.01	92	0	0	0	0	12.29	1	1	1	1	1	
1	336.02	4.98	0.01	101	0	0	0	0	12.29	1	1	1	1	1	
1	349.16	5.66	0.02	114	0	0	0	0	12.27	1	1	1	1	1	
1	353.77	6.13	0.01	124	0	0	0	0	12.27	1	1	1	1	1	
1	359.88	6.61	0.00	134	0	0	0	0	12.27	1	1	1	1	1	
1	369.09	7.34	0.01	148	0	0	0	0	12.29	1	1	1	1	1	
1	371.29	7.83	0.01	158	0	0	0	0	12.27	1	1	1	1	1	
1	375.75	8.57	0.00	172	0	0	0	0	12.27	1	1	1	1	1	
1	376.51	9.07	-0.00	182	0	0	0	0	12.27	1	1	1	1	1	
1	377.26	9.82	0.01	198	0	0	0	0	12.27	1	1	1	1	1	
1	376.51	10.33	-0.00	208	0	0	0	0	12.27	1	1	1	1	1	
1	372.02	11.08	-0.01	222	0	0	0	0	12.27	1	1	1	1	1	
1	369.82	11.57	-0.01	232	0	0	0	0	12.27	1	1	1	1	1	
1	361.27	12.30	0.00	248	0	0	0	0	12.27	1	1	1	1	1	
1	357.14	12.78	0.01	256	0	0	0	0	12.27	1	1	1	1	1	
1	350.47	13.24	0.00	266	0	0	0	0	12.27	1	1	1	1	1	
1	339.06	13.93	-0.01	280	0	0	0	0	12.29	1	1	1	1	1	
1	330.69	14.37	-0.01	288	0	0	0	0	12.29	1	1	1	1	1	
1	315.66	15.02	0.01	302	0	0	0	0	12.25	1	1	1	1	1	
1	304.88	15.43	0.01	310	0	0	0	0	12.29	1	1	1	1	1	
1	287.58	16.01	-0.00	322	0	0	0	0	12.27	1	1	1	1	1	
1	274.52	16.38	0.00	330	0	0	0	0	12.25	1	1	1	1	1	
1	254.76	16.90	-0.00	340	0	0	0	0	12.29	1	1	1	1	1	
1	239.77	17.23	-0.01	346	0	0	0	0	12.27	1	1	1	1	1	
1	224.28	17.54	-0.01	352	0	0	0	0	12.29	1	1	1	1	1	
1	201.61	17.96	0.01	360	0	0	0	0	12.29	1	1	1	1	1	
1	184.37	18.21	-0.00	366	0	0	0	0	12.29	1	1	1	1	1	
1	159.30	18.55	0.01	372	0	0	0	0	12.29	1	1	1	1	1	
1	140.77	18.74	0.00	376	0	0	0	0	12.29	1	1	1	1	1	
1	107.70	18.99	0.00	382	0	0	0	0	12.27	1	1	1	1	1	
1	100.00	19.13	0.03	384	0	0	0	0	12.29	1	1	1	1	1	
1	100.00	19.33	0.02	388	0	0	0	0	12.29	1	1	1	1	1	
1	100.00	19.46	0.02	390	0	0	0	0	12.29	1	1	1	1	1	
1	100.00	19.66	0.01	394	0	0	0	0	12.27	1	1	1	1	1	
1	100.00	19.79	0.00	398	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	19.95	0.00	400	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	20.00	-0.00	402	0	0	0	0	12.27	1	1	1	1	1	
1	240.08	20.00	-0.01	402	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	20.00	0.01	402	0	0	0	0	12.27	1	1	1	1	1	
1	240.08	20.00	0.02	402	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	20.00	0.01	402	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	20.00	0.02	402	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	20.00	0.01	402	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	20.00	0.00	402	0	0	0	0	12.27	1	1	1	1	1	
1	240.08	20.00	0.01	402	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	20.00	0.01	402	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	20.00	-0.00	402	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	20.00	-0.01	402	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	20.00	0.01	402	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	20.00	-0.00	402	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	20.00	0.00	402	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	20.00	-0.00	402	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	20.00	0.01	402	0	0	0	0	12.29	1	1	1	1	1	
