Started Log File:     logs/MMTK 2021-06-01 11-03-39-COM5.txt
Data Source:     COM5

˜BáNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	162.76	0.23	-10.48	374	0	0	1	0	12.34	1	1	1	1	1	
1	140.55	0.23	-10.48	378	0	0	1	0	12.32	1	1	1	1	1	
1	118.97	0.23	-10.48	384	0	0	1	0	12.32	1	1	1	1	1	
1	100.00	0.23	-10.47	386	0	0	1	0	12.32	1	1	1	1	1	
1	100.00	0.23	-10.46	390	0	0	1	0	12.29	1	1	1	1	1	
1	100.00	0.23	-10.46	394	0	0	1	0	12.30	1	1	1	1	1	
1	100.00	0.23	-10.47	398	0	0	1	0	12.27	1	1	1	1	1	
1	100.00	0.23	-10.47	400	0	0	1	0	12.29	1	1	1	1	1	
1	240.08	0.23	-10.47	408	0	0	1	0	12.25	1	1	1	1	1	
1	240.08	0.23	-10.48	414	0	0	1	0	12.30	1	1	1	1	1	
1	240.08	0.23	-10.49	420	0	0	1	0	12.25	1	1	1	1	1	
1	240.08	0.23	-10.48	430	0	0	1	0	12.34	1	1	1	1	1	
1	240.08	0.23	-10.48	436	0	0	1	0	12.32	1	1	1	1	1	
1	240.08	0.23	-10.47	446	0	0	1	0	12.30	1	1	1	1	1	
1	240.08	0.23	-10.47	452	0	0	1	0	12.32	1	1	1	1	1	
1	240.08	0.23	-10.46	462	0	0	1	0	12.27	1	1	1	1	1	
1	240.08	0.23	-10.48	468	0	0	1	0	12.27	1	1	1	1	1	
1	240.08	0.23	-10.48	478	0	0	1	0	12.32	1	1	1	1	1	
1	240.08	0.23	-10.47	484	0	0	1	0	12.34	1	1	1	1	1	
1	240.08	0.23	-10.46	494	0	0	1	0	12.29	1	1	1	1	1	
1	240.08	0.23	-10.47	500	0	0	1	0	12.30	1	1	1	1	1	
1	240.08	0.23	-10.49	506	0	0	1	0	12.32	1	1	1	1	1	
1	240.08	0.23	-10.50	516	0	0	1	0	12.29	1	1	1	1	1	
1	240.08	0.23	-10.48	522	0	0	1	0	12.27	1	1	1	1	1	
1	240.08	0.23	-10.48	532	0	0	1	0	12.34	1	1	1	1	1	
1	240.08	0.23	-10.46	538	0	0	1	0	12.34	1	1	1	1	1	
1	240.08	0.23	-10.47	548	0	0	1	0	12.29	1	1	1	1	1	
1	240.08	0.23	-10.48	554	0	0	1	0	12.30	1	1	1	1	1	
1	100.00	0.23	-10.48	562	0	0	1	0	12.25	1	1	1	1	1	
1	100.00	0.23	-10.47	564	0	0	1	0	12.30	1	1	1	1	1	
1	100.00	0.23	-10.48	568	0	0	1	0	12.32	1	1	1	1	1	
1	100.00	0.23	-10.49	572	0	0	1	0	12.34	1	1	1	1	1	
1	100.00	0.23	-10.49	574	0	0	1	0	12.34	1	1	1	1	1	
1	117.85	0.23	-10.48	578	0	0	1	0	12.29	1	1	1	1	1	
1	136.36	0.23	-10.48	582	0	0	1	0	12.29	1	1	1	1	1	
1	161.92	0.23	-10.48	588	0	0	1	0	12.30	1	1	1	1	1	
1	179.60	0.23	-10.47	590	0	0	1	0	12.30	1	1	1	1	1	
1	204.47	0.23	-10.46	598	0	0	1	0	12.34	1	1	1	1	1	
1	219.30	0.23	-10.48	604	0	0	1	0	12.34	1	1	1	1	1	
1	242.88	0.23	-10.50	614	0	0	1	0	12.29	1	1	1	1	1	
1	257.55	0.23	-10.51	620	0	0	1	0	12.27	1	1	1	1	1	
1	276.96	0.23	-10.50	630	0	0	1	0	12.32	1	1	1	1	1	
1	290.25	0.23	-10.49	638	0	0	1	0	12.29	1	1	1	1	1	
1	302.42	0.23	-10.49	646	0	0	1	0	12.27	1	1	1	1	1	
1	317.80	0.23	-10.47	658	0	0	1	0	12.32	1	1	1	1	1	
1	328.37	0.23	-10.47	668	0	0	1	0	12.30	1	1	1	1	1	
1	340.91	0.23	-10.48	680	0	0	1	0	12.32	1	1	1	1	1	
1	349.16	0.23	-10.49	690	0	0	1	0	12.32	1	1	1	1	1	
1	358.51	0.23	-10.50	704	0	0	1	0	12.27	1	1	1	1	1	
1	364.08	0.23	-10.49	714	0	0	1	0	12.25	1	1	1	1	1	
1	370.55	0.23	-10.48	728	0	0	1	0	12.32	1	1	1	1	1	
1	373.51	0.23	-10.48	738	0	0	1	0	12.30	1	1	1	1	1	
1	376.51	0.23	-10.50	754	0	0	1	0	12.30	1	1	1	1	1	
1	377.26	0.23	-10.50	764	0	0	1	0	12.29	1	1	1	1	1	
1	377.26	0.23	-10.48	774	0	0	1	0	12.29	1	1	1	1	1	
1	375.00	0.23	-10.48	788	0	0	1	0	12.29	1	1	1	1	1	
1	372.02	0.23	-10.50	798	0	0	1	0	12.30	1	1	1	1	1	
1	366.21	0.23	-10.49	812	0	0	1	0	12.27	1	1	1	1	1	
1	361.27	0.23	-10.47	822	0	0	1	0	12.27	1	1	1	1	1	
1	351.78	0.23	-10.48	836	0	0	1	0	12.34	1	1	1	1	1	
1	344.04	0.23	-10.49	846	0	0	1	0	12.34	1	1	1	1	1	
1	331.86	0.23	-10.47	860	0	0	1	0	12.27	1	1	1	1	1	
1	322.16	0.23	-10.47	868	0	0	1	0	12.29	1	1	1	1	1	
1	306.87	0.23	-10.48	880	0	0	1	0	12.34	1	1	1	1	1	
1	294.81	0.23	-10.50	888	0	0	1	0	12.34	1	1	1	1	1	
1	284.52	0.23	-10.50	896	0	0	1	0	12.34	1	1	1	1	1	
1	263.34	0.23	-10.49	908	0	0	1	0	12.30	1	1	1	1	1	
1	248.67	0.23	-10.49	914	0	0	1	0	12.30	1	1	1	1	1	
1	227.00	0.23	-10.49	924	0	0	1	0	12.34	1	1	1	1	1	
1	211.15	0.23	-10.48	930	0	0	1	0	12.34	1	1	1	1	1	
1	187.88	0.23	-10.46	938	0	0	1	0	12.29	1	1	1	1	1	
1	168.46	0.23	-10.49	942	0	0	1	0	12.30	1	1	1	1	1	
1	145.24	0.23	-10.50	948	0	0	1	0	12.32	1	1	1	1	1	
1	126.18	0.23	-10.50	952	0	0	1	0	12.29	1	1	1	1	1	
