Started Log File:     logs/MMTK 2021-06-01 10-58-05-COM5.txt
Data Source:     COM5

NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
null1	0.00	0.00	-10.41	0	1	1	0	0	12.29	1	1	1	1	0	
1	0.00	0.00	-10.41	0	1	1	0	0	12.32	1	1	1	1	0	
1	0.00	0.00	-10.43	0	1	1	0	0	12.30	1	1	1	1	0	
1	0.00	0.00	-10.40	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.40	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.39	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.39	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.38	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.38	0	1	1	0	0	12.27	0	1	1	1	1	
1	0.00	0.00	-10.40	0	1	1	0	0	12.34	0	1	1	1	1	
1	0.00	0.00	-10.40	0	1	1	0	0	12.32	0	1	1	1	1	
1	0.00	0.00	-10.40	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.39	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.38	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.39	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.40	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.40	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.39	0	1	1	0	0	12.29	0	1	1	1	1	
1	0.00	0.00	-10.40	0	1	1	0	0	12.27	0	1	1	1	1	
1	0.00	0.00	-10.40	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.39	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.40	0	1	1	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.40	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.39	0	2	0	0	0	12.13	1	1	1	1	0	
1	0.00	0.00	-10.39	0	2	0	0	0	12.11	1	1	1	1	0	
1	0.00	0.00	-10.42	0	2	0	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	-10.41	0	2	0	0	0	12.01	1	1	1	1	1	
1	0.00	0.00	-10.39	0	2	0	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	-10.40	0	2	0	0	0	12.11	1	1	1	1	1	
1	250.00	-0.12	-10.39	-4	3	0	0	1	12.23	0	1	1	1	1	
1	250.00	-0.62	-10.40	-14	3	0	0	1	12.23	0	1	1	1	1	
1	250.00	-0.96	-10.40	-20	3	0	0	1	12.21	0	1	1	1	1	
