Started Log File:     logs/MMTK 2021-06-03 10-57-42-COM4.txt
Data Source:     COM4

NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
null1	0.00	0.00	-10.41	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-10.40	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-10.38	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.38	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-10.39	0	1	1	0	0	12.40	1	1	1	1	1	
1	0.00	0.00	-10.40	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.32	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.30	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-10.40	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.41	0	1	1	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.40	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-10.40	0	1	1	0	0	12.38	1	1	1	1	1	
1	0.00	0.00	-10.42	0	2	0	0	0	12.27	1	1	1	1	0	
1	0.00	0.00	-10.42	0	2	0	0	0	12.29	1	1	1	1	1	
1	0.00	0.00	-10.41	0	2	0	0	0	12.34	1	1	1	1	1	
1	0.00	0.00	-10.41	0	2	0	0	0	12.36	1	1	1	1	1	
1	0.00	0.00	-10.42	0	2	0	0	0	12.25	1	1	1	1	1	
1	0.00	0.00	-10.41	0	2	0	0	0	12.27	1	1	1	1	1	
1	0.00	0.00	-10.39	0	2	0	0	0	12.25	1	1	1	1	1	
1	0.00	0.00	-10.41	0	2	0	0	0	12.25	1	1	1	1	1	
1	0.00	0.00	-10.40	0	2	0	0	0	12.32	1	1	1	1	1	
 ========= TARE ==========
nullNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
0	0.00	0.00	-10.40	0	2	0	0	0	12.32	1	1	2	1	1	
1	25.00	0.00	0.00	0	0	0	0	1	12.32	1	1	1	0	1	
1	25.00	0.00	0.00	0	0	0	0	1	12.34	1	1	1	0	1	
1	25.00	0.00	0.01	0	0	0	0	1	12.30	1	1	1	1	1	
1	25.00	0.00	0.02	0	0	0	0	1	12.25	1	1	1	1	1	
1	25.00	0.00	0.01	0	0	0	0	1	12.27	1	1	1	1	1	
1	25.00	0.00	-0.00	0	0	0	0	1	12.32	1	1	1	1	1	
1	25.00	0.00	0.00	0	0	0	0	1	12.36	1	1	1	1	1	
1	25.00	0.00	0.00	0	0	0	0	1	12.30	1	1	1	1	1	
1	25.00	0.00	0.01	0	0	0	0	1	12.36	1	1	1	1	1	
1	25.00	0.00	0.01	0	0	0	0	1	12.36	1	1	1	1	1	
1	25.00	0.00	0.00	0	0	0	0	1	12.25	1	1	1	1	1	
1	25.00	0.00	-0.00	0	0	0	0	1	12.25	1	1	1	1	1	
1	25.00	0.00	-0.01	0	0	0	0	1	12.30	1	1	1	1	1	
1	25.00	0.00	0.01	0	0	0	0	1	12.30	1	1	1	1	1	
1	25.00	0.00	-0.00	0	0	0	0	1	12.34	1	1	1	1	1	
1	25.00	0.00	-0.01	0	0	0	0	1	12.34	1	1	1	1	1	
1	25.00	0.00	-0.00	0	0	0	0	1	12.34	1	1	1	1	1	
1	25.00	0.00	0.01	0	0	0	0	1	12.25	1	1	1	1	1	
1	25.00	0.00	-0.00	0	0	0	0	1	12.32	1	1	1	1	1	
1	25.00	0.00	0.01	0	0	0	0	1	12.23	1	1	1	1	1	
1	25.00	0.00	0.01	0	0	0	0	1	12.34	1	1	1	1	1	
1	25.00	0.00	0.00	0	0	0	0	1	12.25	1	1	1	1	1	
1	25.00	0.00	0.01	0	0	0	0	1	12.34	1	1	1	1	1	
1	25.00	0.00	0.01	0	0	0	0	1	12.25	1	1	1	1	1	
1	395.57	0.00	0.01	0	0	0	0	1	12.30	1	1	1	1	1	
1	508.13	0.48	-0.01	12	0	0	0	0	12.32	1	1	1	1	1	
1	642.12	1.64	-0.02	34	0	0	0	0	12.29	1	1	1	1	1	
1	729.57	2.55	0.00	52	0	0	0	0	12.29	1	1	1	1	1	
1	729.57	3.51	0.00	72	0	0	0	0	12.30	1	1	1	1	1	
1	729.57	4.96	0.01	100	0	0	0	0	12.29	1	1	1	1	1	
1	729.57	5.92	-0.01	120	0	0	0	0	12.32	1	1	1	1	1	
1	729.57	7.37	-0.02	148	0	0	0	0	12.30	1	1	1	1	1	
1	729.57	8.33	-0.01	168	0	0	0	0	12.29	1	1	1	1	1	
1	729.57	9.79	-0.02	198	0	0	0	0	12.30	1	1	1	1	1	
1	729.57	10.76	-0.00	216	0	0	0	0	12.30	1	1	1	1	1	
1	729.57	12.21	0.00	246	0	0	0	0	12.30	1	1	1	1	1	
1	726.74	13.17	-0.00	264	0	0	0	0	12.32	1	1	1	1	1	
1	599.04	14.49	-0.00	292	0	0	0	0	12.32	1	1	1	1	1	
1	517.96	15.22	0.00	306	0	0	0	0	12.30	1	1	1	1	1	
1	410.28	15.82	-0.01	318	0	0	0	0	12.30	1	1	1	1	1	
1	225.09	16.45	-0.01	330	0	0	0	0	12.32	1	1	1	1	1	
1	127.03	16.67	-0.01	334	0	0	0	0	12.30	1	1	1	1	1	
1	600.96	16.74	0.01	336	0	0	0	0	12.32	1	1	1	1	1	
1	10.00	17.05	0.02	344	0	0	0	0	12.27	1	1	1	1	1	
1	97.05	17.13	0.01	346	0	0	0	0	12.27	1	1	1	1	1	
1	152.07	17.23	0.01	348	0	0	0	0	12.32	1	1	1	1	1	
1	224.01	17.57	-0.01	354	0	0	0	0	12.30	1	1	1	1	1	
1	275.33	17.90	0.01	360	0	0	0	0	12.30	1	1	1	1	1	
1	313.02	18.13	0.03	366	0	0	0	0	12.30	1	1	1	1	1	
1	386.60	18.08	0.02	364	0	0	0	1	12.30	1	1	1	1	1	
1	419.46	17.54	0.01	354	0	0	0	1	12.30	1	1	1	1	1	
1	482.01	16.69	0.02	336	0	0	0	1	12.30	1	1	1	1	1	
1	515.11	16.04	0.01	324	0	0	0	1	12.30	1	1	1	1	1	
1	556.38	14.98	0.00	302	0	0	0	1	12.30	1	1	1	1	1	
1	578.70	14.23	0.00	288	0	0	0	1	12.30	1	1	1	1	1	
1	604.84	13.05	0.00	264	0	0	0	1	12.30	1	1	1	1	1	
1	618.81	12.25	0.00	248	0	0	0	1	12.30	1	1	1	1	1	
1	627.09	11.01	0.01	222	0	0	0	1	12.29	1	1	1	1	1	
1	629.19	10.18	-0.00	206	0	0	0	1	12.29	1	1	1	1	1	
1	627.09	9.34	-0.02	190	0	0	0	1	12.32	1	1	1	1	1	
1	614.75	8.10	-0.01	164	0	0	0	1	12.29	1	1	1	1	1	
1	602.89	7.30	-0.00	148	0	0	0	1	12.30	1	1	1	1	1	
1	571.65	6.13	-0.00	126	0	0	0	1	12.30	1	1	1	1	1	
1	545.06	5.39	-0.00	110	0	0	0	1	12.32	1	1	1	1	1	
1	504.03	4.35	0.00	90	0	0	0	1	12.32	1	1	1	1	1	
1	468.75	3.69	0.02	76	0	0	0	1	12.30	1	1	1	1	1	
1	413.91	2.81	0.01	60	0	0	0	1	12.30	1	1	1	1	1	
1	371.29	2.29	0.00	48	0	0	0	1	12.32	1	1	1	1	1	
1	305.37	1.62	-0.01	36	0	0	0	1	12.30	1	1	1	1	1	
1	257.20	1.25	0.02	28	0	0	0	1	12.30	1	1	1	1	1	
1	206.04	0.94	0.00	22	0	0	0	1	12.30	1	1	1	1	1	
1	132.04	0.60	-0.01	14	0	0	0	1	12.32	1	1	1	1	1	
1	78.03	0.46	0.01	12	0	0	0	1	12.32	1	1	1	1	1	
1	6.00	0.38	0.02	10	0	0	0	1	12.32	1	1	1	1	1	
1	400.64	0.20	0.03	4	0	0	0	1	12.30	1	1	1	1	1	
1	6.00	0.00	0.03	1	0	0	0	1	12.32	1	1	1	1	1	
1	122.07	0.05	0.01	2	0	0	0	0	12.29	1	1	1	1	1	
1	292.06	0.39	0.00	8	0	0	0	0	12.30	1	1	1	1	1	
1	406.72	0.80	-0.01	18	0	0	0	0	12.32	1	1	1	1	1	
1	553.10	1.53	0.00	32	0	0	0	0	12.30	1	1	1	1	1	
1	651.04	1.94	0.01	42	0	0	0	0	12.29	1	1	1	1	1	
1	732.42	2.85	-0.00	60	0	0	0	0	12.30	1	1	1	1	1	
1	732.42	4.30	0.00	88	0	0	0	0	12.30	1	1	1	1	1	
1	732.42	5.27	0.00	108	0	0	0	0	12.30	1	1	1	1	1	
1	732.42	6.73	0.01	137	0	0	0	0	12.30	1	1	1	1	1	
1	732.42	7.71	0.01	156	0	0	0	0	12.30	1	1	1	1	1	
1	732.42	9.16	-0.00	186	0	0	0	0	12.30	1	1	1	1	1	
1	732.42	10.13	0.02	206	0	0	0	0	12.30	1	1	1	1	1	
1	732.42	11.58	0.02	234	0	0	0	0	12.29	1	1	1	1	1	
1	732.42	12.55	0.00	254	0	0	0	0	12.30	1	1	1	1	1	
1	686.81	13.98	-0.00	282	0	0	0	0	12.29	1	1	1	1	1	
1	595.24	14.84	-0.01	300	0	0	0	0	12.27	1	1	1	1	1	
1	493.42	15.55	-0.01	314	0	0	0	0	12.30	1	1	1	1	1	
1	339.06	16.38	-0.01	330	0	0	0	0	12.30	1	1	1	1	1	
1	221.11	16.75	-0.01	338	0	0	0	0	12.30	1	1	1	1	1	
1	51.01	17.00	0.00	342	0	0	0	0	12.32	1	1	1	1	1	
1	600.96	17.15	-0.01	348	0	0	0	0	12.07	1	1	1	1	1	
1	45.01	17.78	-0.00	360	0	0	0	0	12.30	1	1	1	1	1	
1	97.05	17.84	0.00	362	0	0	0	0	12.30	1	1	1	1	1	
1	173.13	18.12	-0.00	368	0	0	0	0	12.30	1	1	1	1	1	
1	222.16	18.39	0.00	372	0	0	0	0	12.32	1	1	1	1	1	
1	271.35	18.59	0.00	376	0	0	0	0	12.32	1	1	1	1	1	
1	343.41	18.50	-0.01	374	0	0	0	1	12.30	1	1	1	1	1	
1	387.40	18.03	-0.00	366	0	0	0	1	12.30	1	1	1	1	1	
1	445.37	17.22	0.01	349	0	0	0	1	12.30	1	1	1	1	1	
1	482.01	16.61	-0.01	336	0	0	0	1	12.32	1	1	1	1	1	
1	528.17	15.62	-0.02	316	0	0	0	1	12.30	1	1	1	1	1	
1	556.38	14.90	-0.01	302	0	0	0	1	12.32	1	1	1	1	1	
1	587.77	13.79	-0.01	280	0	0	0	1	12.30	1	1	1	1	1	
1	604.84	13.00	0.01	264	0	0	0	1	12.30	1	1	1	1	1	
1	622.92	11.77	0.01	240	0	0	0	1	12.30	1	1	1	1	1	
1	627.09	10.94	0.01	224	0	0	0	1	12.29	1	1	1	1	1	
1	629.19	10.10	0.01	206	0	0	0	1	12.32	1	1	1	1	1	
1	625.00	8.86	0.01	182	0	0	0	1	12.30	1	1	1	1	1	
1	612.75	8.07	0.01	166	0	0	0	1	12.29	1	1	1	1	1	
1	591.48	6.88	0.03	142	0	0	0	1	12.30	1	1	1	1	1	
1	571.65	6.11	0.01	126	0	0	0	1	12.32	1	1	1	1	1	
1	531.16	5.00	0.00	104	0	0	0	1	12.32	1	1	1	1	1	
1	502.68	4.32	0.01	90	0	0	0	1	12.29	1	1	1	1	1	
1	450.72	3.38	0.01	72	0	0	0	1	12.29	1	1	1	1	1	
1	411.18	2.81	0.02	60	0	0	0	1	12.30	1	1	1	1	1	
1	349.16	2.06	0.00	46	0	0	0	1	12.30	1	1	1	1	1	
1	302.42	1.63	0.00	38	0	0	0	1	12.30	1	1	1	1	1	
1	258.26	1.26	0.01	30	0	0	0	1	12.30	1	1	1	1	1	
1	181.16	0.83	0.01	22	0	0	0	1	12.30	1	1	1	1	1	
1	135.09	0.63	0.00	18	0	0	0	1	12.30	1	1	1	1	1	
1	52.01	0.45	0.02	14	0	0	0	1	12.30	1	1	1	1	1	
1	400.64	0.42	0.04	14	0	0	0	1	12.30	1	1	1	1	1	
1	400.64	0.00	0.02	2	0	0	0	1	12.29	1	1	1	1	1	
1	400.64	0.00	0.02	2	0	0	0	1	12.30	1	1	1	1	1	
1	179.08	0.17	0.02	6	0	0	0	0	12.30	1	1	1	1	1	
1	297.15	0.32	0.00	10	0	0	0	0	12.32	1	1	1	1	1	
1	458.44	1.06	0.02	24	0	0	0	0	12.29	1	1	1	1	1	
1	571.65	1.74	0.02	38	0	0	0	0	12.30	1	1	1	1	1	
1	655.59	2.53	0.01	54	0	0	0	0	12.32	1	1	1	1	1	
1	738.19	3.92	0.01	82	0	0	0	0	12.29	1	1	1	1	1	
1	738.19	4.89	0.02	100	0	0	0	0	12.30	1	1	1	1	1	
1	738.19	6.37	0.01	130	0	0	0	0	12.30	1	1	1	1	1	
1	738.19	7.34	0.00	150	0	0	0	0	12.30	1	1	1	1	1	
1	738.19	8.81	0.01	180	0	0	0	0	12.29	1	1	1	1	1	
1	738.19	9.78	0.03	198	0	0	0	0	12.29	1	1	1	1	1	
1	738.19	11.25	0.02	228	0	0	0	0	12.32	1	1	1	1	1	
1	738.19	12.22	0.01	248	0	0	0	0	12.32	1	1	1	1	1	
1	738.19	13.70	0.02	278	0	0	0	0	12.30	1	1	1	1	1	
1	679.35	14.64	0.01	296	0	0	0	0	12.32	1	1	1	1	1	
1	589.62	15.47	0.00	312	0	0	0	0	12.32	1	1	1	1	1	
1	444.31	16.48	-0.00	332	0	0	0	0	12.29	1	1	1	1	1	
1	331.27	16.98	0.00	342	0	0	0	0	12.32	1	1	1	1	1	
1	164.04	17.46	0.00	352	0	0	0	0	12.30	1	1	1	1	1	
1	43.00	17.58	0.01	354	0	0	0	0	12.30	1	1	1	1	1	
1	600.96	18.35	0.00	372	0	0	0	0	12.25	1	1	1	1	1	
1	49.01	18.57	0.01	376	0	0	0	0	12.32	1	1	1	1	1	
1	125.00	18.75	0.00	380	0	0	0	0	12.29	1	1	1	1	1	
1	179.08	18.88	0.00	382	0	0	0	0	12.30	1	1	1	1	1	
1	230.06	19.06	-0.01	386	0	0	0	0	12.32	1	1	1	1	1	
1	300.00	18.88	-0.00	382	0	0	0	1	12.30	1	1	1	1	1	
1	347.22	18.47	0.00	374	0	0	0	1	12.32	1	1	1	1	1	
1	409.39	18.13	0.00	366	0	0	0	1	12.29	1	1	1	1	1	
1	448.56	17.79	0.01	360	0	0	0	1	12.30	1	1	1	1	1	
1	500.00	16.84	0.02	340	0	0	0	1	12.30	1	1	1	1	1	
1	531.16	16.16	-0.00	328	0	0	0	1	12.30	1	1	1	1	1	
